month,advances,declines,ratio
05-Sep-2018,601,1228,0.49
04-Sep-2018,412,1424,0.29
03-Sep-2018,885,966,0.92
31-Aug-2018,949,854,1.11
30-Aug-2018,963,846,1.14
29-Aug-2018,845,953,0.89
28-Aug-2018,750,1050,0.71
27-Aug-2018,987,829,1.19
24-Aug-2018,717,1091,0.66
23-Aug-2018,797,1010,0.79
21-Aug-2018,893,928,0.96
20-Aug-2018,1007,816,1.23
17-Aug-2018,1113,667,1.67
16-Aug-2018,706,1102,0.64
14-Aug-2018,892,902,0.99
13-Aug-2018,571,1252,0.46
10-Aug-2018,622,1183,0.53
09-Aug-2018,924,882,1.05
08-Aug-2018,880,895,0.98
07-Aug-2018,792,1021,0.78
06-Aug-2018,1056,793,1.33
03-Aug-2018,1284,548,2.34
02-Aug-2018,869,963,0.9
01-Aug-2018,949,820,1.16
31-Jul-2018,1007,776,1.3
30-Jul-2018,1170,640,1.83
27-Jul-2018,1175,610,1.93
26-Jul-2018,910,879,1.04
25-Jul-2018,985,816,1.21
24-Jul-2018,1456,355,4.1
23-Jul-2018,1093,681,1.6
20-Jul-2018,811,975,0.83
19-Jul-2018,497,1309,0.38
18-Jul-2018,499,1299,0.38
17-Jul-2018,1056,761,1.39
16-Jul-2018,295,1527,0.19
13-Jul-2018,459,1344,0.34
12-Jul-2018,760,1031,0.74
11-Jul-2018,670,1140,0.59
10-Jul-2018,1243,542,2.29
09-Jul-2018,1265,528,2.4
06-Jul-2018,1039,749,1.39
05-Jul-2018,688,1110,0.62
04-Jul-2018,835,942,0.89
03-Jul-2018,915,858,1.07
02-Jul-2018,609,1196,0.51
29-Jun-2018,1348,459,2.94
28-Jun-2018,430,1356,0.32
27-Jun-2018,271,1570,0.17
26-Jun-2018,552,1237,0.45
25-Jun-2018,478,1322,0.36
22-Jun-2018,824,938,0.88
21-Jun-2018,470,1308,0.36
20-Jun-2018,897,878,1.02
19-Jun-2018,420,1381,0.3
18-Jun-2018,560,1238,0.45
15-Jun-2018,682,1099,0.62
14-Jun-2018,817,955,0.86
13-Jun-2018,856,940,0.91
12-Jun-2018,1038,752,1.38
11-Jun-2018,1048,749,1.4
08-Jun-2018,1015,777,1.31
07-Jun-2018,1439,387,3.72
06-Jun-2018,1221,588,2.08
05-Jun-2018,308,1533,0.2
04-Jun-2018,292,1530,0.19
01-Jun-2018,439,1382,0.32
31-May-2018,646,1146,0.56
30-May-2018,760,1043,0.73
29-May-2018,832,967,0.86
28-May-2018,1295,508,2.55
25-May-2018,1175,622,1.89
24-May-2018,818,970,0.84
23-May-2018,698,1117,0.62
22-May-2018,1029,766,1.34
21-May-2018,355,1469,0.24
18-May-2018,467,1335,0.35
17-May-2018,932,860,1.08
16-May-2018,646,1143,0.57
15-May-2018,594,1200,0.5
14-May-2018,523,1283,0.41
11-May-2018,709,1083,0.65
10-May-2018,452,1343,0.34
09-May-2018,753,1019,0.74
08-May-2018,770,1014,0.76
07-May-2018,970,834,1.16
04-May-2018,697,1101,0.63
03-May-2018,467,1334,0.35
02-May-2018,533,1291,0.41
30-Apr-2018,966,840,1.15
27-Apr-2018,981,815,1.2
26-Apr-2018,796,982,0.81
25-Apr-2018,558,1252,0.45
24-Apr-2018,789,1020,0.77
23-Apr-2018,922,884,1.04
20-Apr-2018,745,1048,0.71
19-Apr-2018,999,805,1.24
18-Apr-2018,667,1109,0.6
17-Apr-2018,963,841,1.15
16-Apr-2018,865,954,0.91
13-Apr-2018,881,926,0.95
12-Apr-2018,741,1042,0.71
11-Apr-2018,732,1058,0.69
10-Apr-2018,851,952,0.89
09-Apr-2018,1092,715,1.53
06-Apr-2018,1099,699,1.57
05-Apr-2018,1528,290,5.27
04-Apr-2018,736,1064,0.69
03-Apr-2018,1351,446,3.03
02-Apr-2018,1493,312,4.79
28-Mar-2018,588,1235,0.48
27-Mar-2018,1317,477,2.76
26-Mar-2018,852,997,0.85
23-Mar-2018,343,1482,0.23
22-Mar-2018,425,1391,0.31
21-Mar-2018,868,904,0.96
20-Mar-2018,691,1124,0.61
19-Mar-2018,285,1546,0.18
16-Mar-2018,534,1263,0.42
15-Mar-2018,1100,674,1.63
14-Mar-2018,868,896,0.97
13-Mar-2018,1215,579,2.1
12-Mar-2018,984,832,1.18
09-Mar-2018,689,1101,0.63
08-Mar-2018,835,959,0.87
07-Mar-2018,264,1562,0.17
06-Mar-2018,359,1437,0.25
05-Mar-2018,404,1415,0.29
01-Mar-2018,690,1072,0.64
28-Feb-2018,692,1086,0.64
27-Feb-2018,620,1177,0.53
26-Feb-2018,1075,738,1.46
23-Feb-2018,1361,435,3.13
22-Feb-2018,577,1184,0.49
21-Feb-2018,673,1097,0.61
20-Feb-2018,792,965,0.82
19-Feb-2018,392,1415,0.28
16-Feb-2018,353,1431,0.25
15-Feb-2018,483,1313,0.37
14-Feb-2018,848,959,0.88
12-Feb-2018,1429,383,3.73
09-Feb-2018,849,933,0.91
08-Feb-2018,1497,301,4.97
07-Feb-2018,1387,402,3.45
06-Feb-2018,303,1540,0.2
05-Feb-2018,684,1160,0.59
02-Feb-2018,135,1716,0.08
01-Feb-2018,821,982,0.84
31-Jan-2018,635,1165,0.55
30-Jan-2018,418,1387,0.3
29-Jan-2018,548,1267,0.43
25-Jan-2018,610,1188,0.51
24-Jan-2018,542,1249,0.43
23-Jan-2018,865,928,0.93
22-Jan-2018,983,799,1.23
19-Jan-2018,910,886,1.03
18-Jan-2018,331,1502,0.22
17-Jan-2018,890,908,0.98
16-Jan-2018,340,1491,0.23
15-Jan-2018,905,898,1.01
12-Jan-2018,761,1047,0.73
11-Jan-2018,976,813,1.2
