Symbol,Close,200-EMA,Condition,,
TCS,3122.60,2803.51,Higher,,
TATACONSUM,641.60,548.47,Higher,,
TATAELXSI,3516.20,2017.89,Higher,,
TATAINVEST,1066.90,960.11,Higher,,
TATAMTRDVR,146.95,93.69,Higher,,
TATAMOTORS,315.55,224.04,Higher,,
TATAPOWER,109.35,76.85,Higher,,
TATASTLBSL,105.85,37.97,Higher,,
TATASTEEL,1233.90,604.23,Higher,,
TEAMLEASE,3234.60,2794.59,Higher,,
TECHM,977.05,886.26,Higher,,
NIACL,157.00,133.64,Higher,,
RAMCOCEM,937.90,854.08,Higher,,
THERMAX,1490.35,1042.43,Higher,,
THYROCARE,1064.40,874.02,Higher,,
TIMKEN,1334.55,1169.47,Higher,,
TITAN,1435.25,1359.87,Higher,,
TORNTPHARM,2714.45,2541.87,Higher,,
TORNTPOWER,439.00,347.70,Higher,,
TRENT,763.20,691.92,Higher,,
TRIDENT,18.40,10.89,Higher,,
TIINDIA,1205.10,828.77,Higher,,
UCOBANK,11.70,12.82,Lower,,
UFLEX,438.30,338.57,Higher,,
UPL,684.35,528.89,Higher,,
UJJIVAN,204.40,242.13,Lower,,
UJJIVANSFB,29.00,35.37,Lower,,
ULTRACEMCO,6490.60,5384.80,Higher,,
UNIONBANK,35.30,33.76,Higher,,
UBL,1206.50,1139.01,Higher,,
MCDOWELL-N,555.05,563.16,Lower,,
VGUARD,223.05,206.73,Higher,,
VMART,2707.70,2351.39,Higher,,
VIPIND,333.80,340.93,Lower,,
VRLLOG,217.70,205.49,Higher,,
VSTIND,3188.75,3480.88,Lower,,
VAIBHAVGBL,935.30,2619.25,Lower,,
VAKRANGEE,49.75,46.41,Higher,,
VTL,1323.25,998.66,Higher,,
VARROC,381.30,356.02,Higher,,
VBL,992.80,857.32,Higher,,
VENKEYS,1776.95,1517.58,Higher,,
VINATIORGA,1724.00,1261.43,Higher,,
IDEA,8.10,9.74,Lower,,
VOLTAS,1010.25,840.16,Higher,,
WABCOINDIA,6899.15,6022.57,Higher,,
WELCORP,146.65,122.78,Higher,,
WELSPUNIND,93.60,65.57,Higher,,
WESTLIFE,426.25,420.32,Higher,,
WHIRLPOOL,2145.25,2239.32,Lower,,
WIPRO,518.40,368.59,Higher,,
WOCKPHARMA,621.10,411.86,Higher,,
YESBANK,13.15,19.96,Lower,,
ZEEL,186.85,208.38,Lower,,
ZENSARTECH,267.90,226.41,Higher,,
ZYDUSWELL,2110.65,1824.23,Higher,,
ECLERX,1231.85,849.32,Higher,,
