,Symbol,Sector
813,PPAP,Consumer Cyclical
814,RUBYMILLS,Consumer Cyclical
815,GANESHHOUC,Real Estate
816,NAHARPOLY,Consumer Cyclical
817,RELCAPITAL,Financial Services
818,NIPPOBATRY,Industrials
819,ADVANIHOTR,Consumer Cyclical
820,AHLWEST,Consumer Cyclical
821,JINDRILL,Energy
822,THEMISMED,Healthcare
823,GUJAPOLLO,Industrials
824,HARRMALAYA,Consumer Defensive
825,PTL,Real Estate
826,PROZONINTU,Real Estate
827,SREINFRA,Financial Services
828,GOACARBON,Basic Materials
829,TALBROAUTO,Consumer Cyclical
830,ORIENTABRA,Basic Materials
831,INVENTURE,Financial Services
832,RAMANEWS,Basic Materials
833,CREST,Financial Services
834,EROSMEDIA,Communication Services
835,WALCHANNAG,Industrials
836,TVSELECT,Technology
837,CAREERP,Consumer Defensive
838,ZUARIGLOB,Industrials
839,AYMSYNTEX,Consumer Cyclical
840,PENIND,Industrials
841,BIRLAMONEY,Financial Services
842,KOTARISUG,Consumer Defensive
843,ALANKIT,Technology
844,PENINLAND,Real Estate
845,GIRRESORTS,Consumer Cyclical
846,HDIL,Real Estate
847,LINCPEN,Industrials
848,JPINFRATEC,Industrials
849,VETO,Industrials
850,ADSL,Technology
851,RNAVAL,Industrials
852,TRIL,Industrials
853,LIBERTSHOE,Consumer Cyclical
854,BRFL,Consumer Cyclical
855,VINYLINDIA,Basic Materials
856,PITTIENG,Industrials
857,HITECHCORP,Consumer Cyclical
858,GEECEE,Real Estate
859,SDBL,Consumer Defensive
860,JAGSNPHARM,Healthcare
861,ZODIACLOTH,Consumer Cyclical
862,MBLINFRA,Industrials
863,BIL,Consumer Cyclical
864,SILINV,Financial Services
865,WANBURY,Healthcare
866,SELAN,Energy
