Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,63.500000,63.700001,61.750000,62.400002,61.227371,973328
2017-09-22,62.299999,62.299999,60.049999,60.299999,59.166832,951181
2017-09-25,60.849998,61.250000,58.049999,58.599998,57.498779,982308
2017-09-26,58.900002,59.049999,57.650002,58.450001,57.351601,852395
2017-09-27,58.950001,58.950001,56.549999,56.799999,55.732605,1209148
2017-09-28,57.099998,58.700001,56.750000,57.950001,56.860996,863958
2017-09-29,58.450001,59.599998,58.000000,58.299999,57.204414,1271011
2017-10-03,59.000000,59.250000,58.049999,58.250000,57.155354,445701
2017-10-04,58.599998,59.000000,58.049999,58.500000,57.400658,390221
2017-10-05,58.500000,63.400002,58.299999,60.799999,59.657436,3785551
2017-10-06,61.450001,63.950001,61.299999,63.700001,62.502937,2837623
2017-10-09,64.300003,65.500000,63.549999,64.050003,62.846363,1739448
2017-10-10,64.150002,64.900002,63.750000,64.150002,62.944485,1098671
2017-10-11,64.500000,65.300003,61.650002,62.150002,60.982067,3664170
2017-10-12,62.900002,64.099998,61.500000,63.200001,62.012333,856109
2017-10-13,63.250000,64.000000,62.549999,62.750000,61.570793,618778
2017-10-16,63.250000,64.099998,62.150002,62.849998,61.668911,983999
2017-10-17,63.150002,64.300003,63.000000,63.500000,62.306698,926402
2017-10-18,62.799999,63.450001,62.549999,63.049999,61.865154,659310
2017-10-19,63.299999,63.900002,63.049999,63.450001,62.257637,367215
2017-10-23,63.450001,66.349998,63.200001,65.099998,63.876633,2363093
2017-10-24,65.699997,66.500000,64.349998,64.699997,63.484142,1898109
2017-10-25,65.250000,68.400002,63.599998,67.699997,66.427773,3576728
2017-10-26,67.800003,71.449997,67.000000,69.849998,68.537361,6720656
2017-10-27,70.400002,71.000000,69.050003,69.750000,68.439247,3723544
2017-10-30,70.300003,72.400002,69.449997,69.900002,68.586433,3209681
2017-10-31,70.199997,70.900002,69.099998,69.449997,68.144882,1752826
2017-11-01,70.199997,77.000000,70.050003,75.650002,74.228378,21012998
