SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
FDC,325.4,327.85,300.3,301.7,22-JAN-2021
FEDERALBNK,72.95,78.85,71.1,73.3,22-JAN-2021
FINEORG,2505.0,2585.9,2420.0,2447.1,22-JAN-2021
FINCABLES,381.15,397.7,366.85,385.2,22-JAN-2021
FINPIPE,632.1,640.9,598.0,599.75,22-JAN-2021
FSL,90.8,99.7,88.05,95.15,22-JAN-2021
FORTIS,167.1,171.1,162.5,165.7,22-JAN-2021
FCONSUMER,8.0,8.85,7.7,8.85,22-JAN-2021
FRETAIL,75.3,84.65,73.3,84.65,22-JAN-2021
GAIL,140.8,142.0,132.55,134.05,22-JAN-2021
GEPIL,281.75,286.9,270.0,272.7,22-JAN-2021
GHCL,209.0,219.0,203.25,211.6,22-JAN-2021
GMMPFAUDLR,3790.0,3911.95,3618.05,3634.25,22-JAN-2021
GMRINFRA,26.65,27.35,25.3,26.1,22-JAN-2021
GALAXYSURF,2156.0,2240.0,2060.55,2184.7,22-JAN-2021
GRSE,196.5,197.2,182.3,184.65,22-JAN-2021
GARFIBRES,2192.8,2313.0,2125.1,2296.4,22-JAN-2021
GICRE,140.55,144.0,135.65,136.35,22-JAN-2021
GILLETTE,5824.0,5917.45,5651.35,5683.25,22-JAN-2021
GLAXO,1519.3,1589.0,1495.0,1517.85,22-JAN-2021
GLENMARK,512.1,512.1,484.0,495.15,22-JAN-2021
GODFRYPHLP,977.15,977.2,918.0,921.8,22-JAN-2021
GODREJAGRO,545.95,554.75,525.0,540.25,22-JAN-2021
GODREJCP,779.9,808.35,768.15,790.05,22-JAN-2021
GODREJIND,430.0,447.8,413.05,440.1,22-JAN-2021
GODREJPROP,1390.0,1434.85,1296.7,1350.35,22-JAN-2021
GRANULES,356.05,357.0,333.9,337.3,22-JAN-2021
GRAPHITE,325.1,332.7,305.3,310.7,22-JAN-2021
GRASIM,1023.0,1052.5,990.85,1004.0,22-JAN-2021
GESHIP,275.95,276.3,254.85,258.05,22-JAN-2021
GREAVESCOT,93.25,96.3,89.0,92.85,22-JAN-2021
GRINDWELL,723.05,755.0,681.5,705.2,22-JAN-2021
GUJALKALI,347.0,350.6,331.9,332.85,22-JAN-2021
GAEL,146.05,149.0,131.5,133.1,22-JAN-2021
FLUOROCHEM,605.8,634.0,588.0,590.4,22-JAN-2021
GUJGASLTD,376.15,377.5,345.15,349.65,22-JAN-2021
GMDCLTD,62.1,62.1,57.5,57.85,22-JAN-2021
GNFC,214.6,220.95,208.35,213.3,22-JAN-2021
GPPL,89.7,91.1,86.2,87.4,22-JAN-2021
GSFC,81.0,81.75,75.6,76.2,22-JAN-2021
GSPL,212.0,212.55,201.55,202.6,22-JAN-2021
GULFOILLUB,738.7,738.7,709.3,714.95,22-JAN-2021
HEG,998.75,1007.0,930.5,954.6,22-JAN-2021
HCLTECH,1000.0,1020.0,976.9,985.8,22-JAN-2021
HDFCAMC,3244.0,3290.9,3071.05,3101.0,22-JAN-2021
HDFCBANK,1469.9,1511.65,1440.15,1443.55,22-JAN-2021
HDFCLIFE,703.0,711.9,684.1,687.4,22-JAN-2021
HFCL,31.9,33.45,29.6,30.85,22-JAN-2021
HATHWAY,32.5,33.3,31.0,31.2,22-JAN-2021
HATSUN,724.1,789.7,705.0,742.1,22-JAN-2021
HAVELLS,975.3,1155.7,969.0,1122.65,22-JAN-2021
HEIDELBERG,220.1,226.0,213.05,220.85,22-JAN-2021
HERITGFOOD,306.8,306.8,279.6,282.05,22-JAN-2021
HEROMOTOCO,3200.0,3483.95,3082.25,3374.9,22-JAN-2021
HSCL,50.95,50.95,46.4,47.25,22-JAN-2021
HINDALCO,252.3,254.55,235.55,239.2,22-JAN-2021
HAL,970.0,989.45,941.25,948.0,22-JAN-2021
HINDCOPPER,64.0,64.1,56.55,57.1,22-JAN-2021
HINDPETRO,228.7,235.55,223.0,225.4,22-JAN-2021
HINDUNILVR,2374.5,2422.0,2320.65,2409.35,22-JAN-2021
HINDZINC,277.4,315.0,267.3,275.65,22-JAN-2021
HONAUT,39253.2,41859.75,37710.55,39900.5,22-JAN-2021
HUDCO,44.5,46.15,42.6,43.1,22-JAN-2021
HDFC,2645.95,2711.9,2550.0,2589.45,22-JAN-2021
HUHTAMAKI,310.0,313.5,296.95,301.6,22-JAN-2021
ICICIBANK,544.5,561.0,528.9,533.8,22-JAN-2021
ICICIGI,1545.0,1559.9,1420.0,1438.95,22-JAN-2021
ICICIPRULI,499.7,526.0,497.95,501.9,22-JAN-2021
ISEC,442.75,456.85,424.0,437.75,22-JAN-2021
ICRA,2824.05,2871.0,2701.15,2726.5,22-JAN-2021
IDBI,31.0,31.05,27.05,27.3,22-JAN-2021
IDFCFIRSTB,48.65,52.45,45.8,49.5,22-JAN-2021
IDFC,45.3,46.2,40.85,41.95,22-JAN-2021
IFBIND,1377.0,1399.95,1285.0,1388.0,22-JAN-2021
IIFL,113.05,118.95,110.0,118.0,22-JAN-2021
IIFLWAM,1067.85,1095.0,1012.4,1029.25,22-JAN-2021
IOLCP,721.0,723.95,697.0,701.2,22-JAN-2021
IRB,116.05,121.4,113.1,113.75,22-JAN-2021
IRCON,91.0,91.25,85.9,86.8,22-JAN-2021
ITC,218.4,222.0,209.15,210.7,22-JAN-2021
ITI,129.65,130.4,124.55,124.85,22-JAN-2021
INDIACEM,163.5,175.85,160.8,168.25,22-JAN-2021
